"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"";"ML20";"ML20";"J1";"HARTING";"S9172-ND";"";"";"unknown";"unknown";"";"";
"2";"0.01uF";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"490-1512-1-ND";"";"";"";"";"";"";
"1";"10k";"RESISTOR0603_RES";"0603-RES";"R2";"Resistor";"RMCF0603FT10K0CT-ND";"";"";"";"";"";"";
"1";"10uF";"CAP_POL1206";"EIA3216";"C3";"Capacitor Polarized";"399-3684-1-ND";"";"";"";"";"";"";
"1";"20k";"RESISTOR0603_RES";"0603-RES";"R3";"Resistor";"P20.0KHCT-ND";"";"";"";"";"";"";
"1";"470";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"P470DBCT-ND";"";"";"";"";"";"";
"1";"BLUE";"LED-BLUE0603";"LED-0603";"D1";"Blue LEDs for production use";"160-1827-1-ND";"";"";"";"";"DIO-08575";"BLUE";
"1";"EVQP2";"EVQP2";"EVQP2";"S1";"SWITCH TACTILE SPST-NO 0.02A 15V";"P11084SCT-ND";"";"";"";"";"";"";
"1";"JLINK_6PIN_TAG-CON";"JLINK_6PIN_TAG-CON";"2X3_MALE_SHROUDED_0.100";"J2";"This is a 6-pin Tag Connect header with the J-Link.";"3M15451-ND";"";"";"";"";"";"";
"1";"LT1763CS8-3.3";"LT1763CS8-3.3";"SOIC8";"U1";"500mA, Low Noise, LDO Micropower Regulators";"LT1763CS8-3.3#TRPBFCT-ND";"";"LT1763CS8-3.3";"1273617";"57M6055";"";"";
"1";"OS103011MS8QP1";"OS103011MS8QP1";"OS102011MS8QP1";"S4";"Slide Switch SP3T Through Hole";"CKN9543-ND";"";"";"";"";"";"";
"2";"TE_SSA12/SPDT";"TE_SSA12/SPDT";"TE_SSA12/SPDT";"S2, S3";"SWITCH SLIDE SPDT 2POS SSA SER";"2223-SLW-883935-2A-D-ND";"";"SLW-883935-2A-D";"";"";"";"";
